Date : 2025-06-28 21:26:12
Directory : c:\Users\Adolf Hitler\Downloads\FlashCards-App-20250628T143805Z-1-001\FlashCards-App
Total : 94 files,  4430 codes, 572 comments, 664 blanks, all 5666 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         31 |      2,099 |        290 |        282 |      2,671 |
| XML        |         22 |        748 |         54 |         22 |        824 |
| C++        |         16 |        547 |        131 |        189 |        867 |
| CMake      |          8 |        463 |          0 |         92 |        555 |
| Markdown   |          2 |        319 |          0 |         29 |        348 |
| JSON       |          4 |        127 |          0 |          3 |        130 |
| Swift      |          6 |         57 |          7 |         21 |         85 |
| YAML       |          2 |         43 |         75 |         19 |        137 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                           |         94 |      4,430 |        572 |        664 |      5,666 |
| . (Files)                                                                                                                                                                   |          3 |        359 |         75 |         46 |        480 |
| android                                                                                                                                                                     |          9 |         74 |         51 |         11 |        136 |
| android (Files)                                                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                                                                                 |          7 |         66 |         51 |          9 |        126 |
| android\app\src                                                                                                                                                             |          7 |         66 |         51 |          9 |        126 |
| android\app\src\debug                                                                                                                                                       |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                                                                        |          5 |         60 |         43 |          7 |        110 |
| android\app\src\main (Files)                                                                                                                                                |          1 |         34 |         11 |          1 |         46 |
| android\app\src\main\res                                                                                                                                                    |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                           |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                       |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                       |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                                                                              |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                                                                      |          1 |          5 |          0 |          1 |          6 |
| assets                                                                                                                                                                      |          1 |          4 |          0 |          0 |          4 |
| assets\icon                                                                                                                                                                 |          1 |          4 |          0 |          0 |          4 |
| ios                                                                                                                                                                         |         13 |        239 |          4 |         17 |        260 |
| ios\Runner                                                                                                                                                                  |          7 |        101 |          2 |          8 |        111 |
| ios\Runner (Files)                                                                                                                                                          |          2 |         13 |          0 |          3 |         16 |
| ios\Runner.xcodeproj                                                                                                                                                        |          3 |        116 |          0 |          3 |        119 |
| ios\Runner.xcodeproj\project.xcworkspace                                                                                                                                    |          2 |         15 |          0 |          2 |         17 |
| ios\Runner.xcodeproj\project.xcworkspace (Files)                                                                                                                            |          1 |          7 |          0 |          1 |          8 |
| ios\Runner.xcodeproj\project.xcworkspace\xcshareddata                                                                                                                       |          1 |          8 |          0 |          1 |          9 |
| ios\Runner.xcodeproj\xcshareddata                                                                                                                                           |          1 |        101 |          0 |          1 |        102 |
| ios\Runner.xcodeproj\xcshareddata\xcschemes                                                                                                                                 |          1 |        101 |          0 |          1 |        102 |
| ios\Runner.xcworkspace                                                                                                                                                      |          2 |         15 |          0 |          2 |         17 |
| ios\Runner.xcworkspace (Files)                                                                                                                                              |          1 |          7 |          0 |          1 |          8 |
| ios\Runner.xcworkspace\xcshareddata                                                                                                                                         |          1 |          8 |          0 |          1 |          9 |
| ios\RunnerTests                                                                                                                                                             |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                                                                  |          3 |         27 |          0 |          3 |         30 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                             |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                       |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                         |         30 |      2,085 |        280 |        275 |      2,640 |
| lib (Files)                                                                                                                                                                 |          1 |         48 |          6 |          6 |         60 |
| lib\models                                                                                                                                                                  |          7 |        250 |         12 |         56 |        318 |
| lib\navigation                                                                                                                                                              |          1 |         85 |          3 |          9 |         97 |
| lib\providers                                                                                                                                                               |          4 |        220 |         37 |         37 |        294 |
| lib\screens                                                                                                                                                                 |          8 |        932 |         81 |         87 |      1,100 |
| lib\screens (Files)                                                                                                                                                         |          1 |        148 |         13 |         19 |        180 |
| lib\screens\home                                                                                                                                                            |          5 |        580 |         41 |         43 |        664 |
| lib\screens\home (Files)                                                                                                                                                    |          1 |         10 |          0 |          3 |         13 |
| lib\screens\home\cards                                                                                                                                                      |          2 |        444 |         41 |         32 |        517 |
| lib\screens\home\folders                                                                                                                                                    |          2 |        126 |          0 |          8 |        134 |
| lib\screens\quiz                                                                                                                                                            |          2 |        204 |         27 |         25 |        256 |
| lib\tabs                                                                                                                                                                    |          1 |          8 |          0 |          3 |         11 |
| lib\theme                                                                                                                                                                   |          2 |        126 |          5 |          8 |        139 |
| lib\widgets                                                                                                                                                                 |          6 |        416 |        136 |         69 |        621 |
| linux                                                                                                                                                                       |          9 |        330 |         37 |         92 |        459 |
| linux (Files)                                                                                                                                                               |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                                                                               |          4 |        110 |          9 |         27 |        146 |
| linux\runner                                                                                                                                                                |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                                                                       |         10 |        575 |          5 |         21 |        601 |
| macos\Flutter                                                                                                                                                               |          1 |          8 |          3 |          4 |         15 |
| macos\Runner                                                                                                                                                                |          6 |        454 |          0 |         11 |        465 |
| macos\Runner (Files)                                                                                                                                                        |          4 |         43 |          0 |          9 |         52 |
| macos\Runner.xcodeproj                                                                                                                                                      |          1 |         99 |          0 |          1 |        100 |
| macos\Runner.xcodeproj\xcshareddata                                                                                                                                         |          1 |         99 |          0 |          1 |        100 |
| macos\Runner.xcodeproj\xcshareddata\xcschemes                                                                                                                               |          1 |         99 |          0 |          1 |        100 |
| macos\Runner.xcworkspace                                                                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| macos\RunnerTests                                                                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                                                                                |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                             |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                                                                     |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                                                                                        |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                         |          2 |         54 |         15 |          6 |         75 |
| windows                                                                                                                                                                     |         16 |        696 |         95 |        189 |        980 |
| windows (Files)                                                                                                                                                             |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                                                                             |          4 |        128 |          9 |         29 |        166 |
| windows\runner                                                                                                                                                              |         11 |        479 |         86 |        140 |        705 |
